keperluan,izin,kategori
acara keluarga dan mengurus kartu atm,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
libur akhir tahun,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
upaya it del dalam mencegah covid 19,IB,Lainnya
bertemu dengan orangtua dan persiapan mbkm,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
rindu rumah dan rindu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
rindu orang tua dan rindu rumah,IB,Bertemu Keluarga
libur paskah dan bertemu keluarga,IB,Bertemu Keluarga
libur lebaran dan bertemu keluarga,IB,Bertemu Keluarga
ingin bertemu keluarga,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
acara keluarga dan mengurus kartu atm,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
libur akhir tahun,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
upaya it del dalam mencegah covid 19,IB,Lainnya
bertemu dengan orangtua dan persiapan mbkm,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
rindu rumah dan rindu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
rindu orang tua dan rindu rumah,IB,Bertemu Keluarga
libur paskah dan bertemu keluarga,IB,Bertemu Keluarga
libur lebaran dan bertemu keluarga,IB,Bertemu Keluarga
ingin bertemu keluarga,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
acara keluarga dan mengurus kartu atm,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
libur akhir tahun,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
upaya it del dalam mencegah covid 19,IB,Lainnya
bertemu dengan orangtua dan persiapan mbkm,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
rindu rumah dan rindu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
rindu orang tua dan rindu rumah,IB,Bertemu Keluarga
libur paskah dan bertemu keluarga,IB,Bertemu Keluarga
libur lebaran dan bertemu keluarga,IB,Bertemu Keluarga
ingin bertemu keluarga,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
acara keluarga dan mengurus kartu atm,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
libur akhir tahun,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
upaya it del dalam mencegah covid 19,IB,Lainnya
bertemu dengan orangtua dan persiapan mbkm,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
rindu rumah dan rindu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
rindu orang tua dan rindu rumah,IB,Bertemu Keluarga
libur paskah dan bertemu keluarga,IB,Bertemu Keluarga
libur lebaran dan bertemu keluarga,IB,Bertemu Keluarga
ingin bertemu keluarga,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
acara keluarga dan mengurus kartu atm,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
libur akhir tahun,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
upaya it del dalam mencegah covid 19,IB,Lainnya
bertemu dengan orangtua dan persiapan mbkm,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
rindu rumah dan rindu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
rindu orang tua dan rindu rumah,IB,Bertemu Keluarga
libur paskah dan bertemu keluarga,IB,Bertemu Keluarga
libur lebaran dan bertemu keluarga,IB,Bertemu Keluarga
ingin bertemu keluarga,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
acara keluarga dan mengurus kartu atm,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
libur akhir tahun,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
upaya it del dalam mencegah covid 19,IB,Lainnya
bertemu dengan orangtua dan persiapan mbkm,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
rindu rumah dan rindu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
rindu orang tua dan rindu rumah,IB,Bertemu Keluarga
libur paskah dan bertemu keluarga,IB,Bertemu Keluarga
libur lebaran dan bertemu keluarga,IB,Bertemu Keluarga
ingin bertemu keluarga,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
acara keluarga dan mengurus kartu atm,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
libur akhir tahun,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
upaya it del dalam mencegah covid 19,IB,Lainnya
bertemu dengan orangtua dan persiapan mbkm,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
rindu rumah dan rindu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
rindu orang tua dan rindu rumah,IB,Bertemu Keluarga
libur paskah dan bertemu keluarga,IB,Bertemu Keluarga
libur lebaran dan bertemu keluarga,IB,Bertemu Keluarga
ingin bertemu keluarga,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
acara keluarga dan mengurus kartu atm,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
libur akhir tahun,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
upaya it del dalam mencegah covid 19,IB,Lainnya
bertemu dengan orangtua dan persiapan mbkm,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
rindu rumah dan rindu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
rindu orang tua dan rindu rumah,IB,Bertemu Keluarga
libur paskah dan bertemu keluarga,IB,Bertemu Keluarga
libur lebaran dan bertemu keluarga,IB,Bertemu Keluarga
ingin bertemu keluarga,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
acara keluarga dan mengurus kartu atm,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
ingin bertemu orang tua,IB,Bertemu Keluarga
libur akhir tahun,IB,Bertemu Keluarga
libur semester,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
mengerjakan tugas proyek akhir,IB,Tugas Kuliah
upaya it del dalam mencegah covid 19,IB,Lainnya
bertemu dengan orangtua dan persiapan mbkm,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
rindu rumah dan rindu orangtua,IB,Bertemu Keluarga
bertemu keluarga,IB,Bertemu Keluarga
rindu orang tua dan rindu rumah,IB,Bertemu Keluarga
libur paskah dan bertemu keluarga,IB,Bertemu Keluarga
libur lebaran dan bertemu keluarga,IB,Bertemu Keluarga
ingin bertemu keluarga,IB,Bertemu Keluarga
bertemu orang tua,IB,Bertemu Keluarga
acara keluarga dan mengurus kartu atm,IB,Bertemu Keluarga
bertemu orangtua,IB,Bertemu Keluarga
exit clearance meninggalkan asrama dan bertemu dengan keluarga di rumah,IB,Bertemu Keluarga
periksa kesehatan,IB,Lainnya
medical check up,IB,Lainnya
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
terapi,IB,Lainnya
izin bermalam dirumah,IB,Bertemu Keluarga
libur akhir semester ganjil 2022,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
ingin bertemu dengan keluarga,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
membantu orangtua jualan,IB,Bertemu Keluarga
libur paskah bersama orangtua,IB,Bertemu Keluarga
cuti bersama libur lebaran,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
rindu bertemu keluarga,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
libur semester dan magang,IB,Bertemu Keluarga
izin bermalam ke rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah_x000d_,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin berobat,IB,Pergi ke Klinik
menjenguk orangtua,IB,Bertemu Keluarga
rindu orangtua,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
kembali ke rumah,IB,Bertemu Keluarga
kembali ke rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur semester_x000d_,IB,Bertemu Keluarga
jumpa orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
membantu orangtua dirumah,IB,Bertemu Keluarga
libur nasional,IB,Bertemu Keluarga
pemilu,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
libur nyepi,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
membantu orangtua_x000d_,IB,Bertemu Keluarga
membantu orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
periksa kesehatan,IB,Lainnya
medical check up,IB,Lainnya
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
terapi,IB,Lainnya
izin bermalam dirumah,IB,Bertemu Keluarga
libur akhir semester ganjil 2022,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
ingin bertemu dengan keluarga,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
membantu orangtua jualan,IB,Bertemu Keluarga
libur paskah bersama orangtua,IB,Bertemu Keluarga
cuti bersama libur lebaran,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
rindu bertemu keluarga,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
libur semester dan magang,IB,Bertemu Keluarga
izin bermalam ke rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah_x000d_,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin berobat,IB,Pergi ke Klinik
menjenguk orangtua,IB,Bertemu Keluarga
rindu orangtua,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
kembali ke rumah,IB,Bertemu Keluarga
kembali ke rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur semester_x000d_,IB,Bertemu Keluarga
jumpa orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
membantu orangtua dirumah,IB,Bertemu Keluarga
libur nasional,IB,Bertemu Keluarga
pemilu,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
libur nyepi,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
membantu orangtua_x000d_,IB,Bertemu Keluarga
membantu orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
periksa kesehatan,IB,Lainnya
medical check up,IB,Lainnya
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
terapi,IB,Lainnya
izin bermalam dirumah,IB,Bertemu Keluarga
libur akhir semester ganjil 2022,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
ingin bertemu dengan keluarga,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
membantu orangtua jualan,IB,Bertemu Keluarga
libur paskah bersama orangtua,IB,Bertemu Keluarga
cuti bersama libur lebaran,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
rindu bertemu keluarga,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
libur semester dan magang,IB,Bertemu Keluarga
izin bermalam ke rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah_x000d_,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin berobat,IB,Pergi ke Klinik
menjenguk orangtua,IB,Bertemu Keluarga
rindu orangtua,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
kembali ke rumah,IB,Bertemu Keluarga
kembali ke rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur semester_x000d_,IB,Bertemu Keluarga
jumpa orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
membantu orangtua dirumah,IB,Bertemu Keluarga
libur nasional,IB,Bertemu Keluarga
pemilu,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
libur nyepi,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
membantu orangtua_x000d_,IB,Bertemu Keluarga
membantu orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
periksa kesehatan,IB,Lainnya
medical check up,IB,Lainnya
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
terapi,IB,Lainnya
izin bermalam dirumah,IB,Bertemu Keluarga
libur akhir semester ganjil 2022,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
ingin bertemu dengan keluarga,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
membantu orangtua jualan,IB,Bertemu Keluarga
libur paskah bersama orangtua,IB,Bertemu Keluarga
cuti bersama libur lebaran,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
rindu bertemu keluarga,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
libur semester dan magang,IB,Bertemu Keluarga
izin bermalam ke rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah_x000d_,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin berobat,IB,Pergi ke Klinik
menjenguk orangtua,IB,Bertemu Keluarga
rindu orangtua,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
kembali ke rumah,IB,Bertemu Keluarga
kembali ke rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur semester_x000d_,IB,Bertemu Keluarga
jumpa orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
membantu orangtua dirumah,IB,Bertemu Keluarga
libur nasional,IB,Bertemu Keluarga
pemilu,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
libur nyepi,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
membantu orangtua_x000d_,IB,Bertemu Keluarga
membantu orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
periksa kesehatan,IB,Lainnya
medical check up,IB,Lainnya
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
terapi,IB,Lainnya
izin bermalam dirumah,IB,Bertemu Keluarga
libur akhir semester ganjil 2022,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
ingin bertemu dengan keluarga,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
membantu orangtua jualan,IB,Bertemu Keluarga
libur paskah bersama orangtua,IB,Bertemu Keluarga
cuti bersama libur lebaran,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
rindu bertemu keluarga,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
libur semester dan magang,IB,Bertemu Keluarga
izin bermalam ke rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah_x000d_,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin berobat,IB,Pergi ke Klinik
menjenguk orangtua,IB,Bertemu Keluarga
rindu orangtua,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
kembali ke rumah,IB,Bertemu Keluarga
kembali ke rumah,IB,Bertemu Keluarga
bermalam di rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
libur semester_x000d_,IB,Bertemu Keluarga
jumpa orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
membantu orangtua dirumah,IB,Bertemu Keluarga
libur nasional,IB,Bertemu Keluarga
pemilu,IB,Bertemu Keluarga
acara keluarga,IB,Bertemu Keluarga
libur nyepi,IB,Bertemu Keluarga
libur paskah,IB,Bertemu Keluarga
libur lebaran,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
membantu orangtua_x000d_,IB,Bertemu Keluarga
membantu orangtua,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
pulang ke rumah,IB,Bertemu Keluarga
periksa kesehatan,IB,Lainnya
medical check up,IB,Lainnya
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
terapi,IB,Lainnya
izin bermalam dirumah,IB,Bertemu Keluarga
libur akhir semester ganjil 2022,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
ingin bertemu dengan keluarga,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
membantu orangtua jualan,IB,Bertemu Keluarga
libur paskah bersama orangtua,IB,Bertemu Keluarga
cuti bersama libur lebaran,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
rindu bertemu keluarga,IB,Bertemu Keluarga
izin bermalam dirumah,IB,Bertemu Keluarga
libur semester dan magang,IB,Bertemu Keluarga
izin bermalam ke rumah,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin bermalam di rumah_x000d_,IB,Bertemu Keluarga
izin bermalam di rumah,IB,Bertemu Keluarga
izin berobat,IB,Pergi ke Klinik
menjenguk orangtua,IB,Bertemu Keluarga
