keperluan,kategori
melakukan market research kepada beberapa tenant rumah kreatif toba pemilihan tenant dikelompokkan menjadi tenant dengan transaksi besar menengah dan sedikit untuk mengetahui sudut pandang dari masingmasing tenant terkait pengalaman dan mengetahui masalah yang dihadapi saat menggunakan aplikasi,Bertemu Keluarga
sedang sakit cacar api herpes zoster dan sudah periksa ke klinik del dokter mengatakan perlu karantina secara mandiri selama kurang lebih hari setelah bediskusi dengan pembina asrama maka saya disarankan untuk pulang ke rumah agar dapat dipantau secara langsung oleh orangtua,Bertemu Keluarga
requirement gathering dan mengumpulkan data ke bank sampah dan dinas kebersihan untuk memenuhi kebutuhan tugas akhir,Tugas Kuliah
melakukan requirement untuk kelengkapan dataset dan melakukan research harga pada beberapa bank sampah yang ada di sekitar balige,Tugas Kuliah
melakukan kembali requirement untuk kelengkapan dataset tugas akhir di sekitar balige dan sekaligus memperbaiki laptop,Memperbaiki Barang
melakukan pengumpulan dataset yang baru ke bank sampah tarhilala tambunan hal ini dilakukan untuk memenuhi scope tugas akhir yang membutuhkan dataset yang lebih lengkap dan terperinci,Tugas Kuliah
ikut serta dalam pemilihan kepala desa,Lainnya
until mengikuti ibadah natal youth yang di selenggarakan oleh toba youth move mentioned zaitun ministry balige yang bertempatkan di aula smk nbalige dan says ikut serta melayani sebagai panitia konsumsi,Lainnya
keperluan pangkas dan keperluan di rumah,Bertemu Keluarga
mengurus atm,Urusan Pribadi
pergi ke rumah sakit untuk cek mata,Bertemu Keluarga
mengunjungi acara pesta meninggal oppung,Lainnya
wawancara client pa,Lainnya
pangkas rambut,Lainnya
urusan keluarga,Bertemu Keluarga
memperbaiki lensa kacamata,Lainnya
memperbaiki touch pad laptop,Memperbaiki Barang
membeli carger laptop,Memperbaiki Barang
melakukan market research kepada beberapa tenant rumah kreatif toba pemilihan tenant dikelompokkan menjadi tenant dengan transaksi besar menengah dan sedikit untuk mengetahui sudut pandang dari masingmasing tenant terkait pengalaman dan mengetahui masalah yang dihadapi saat menggunakan aplikasi,Bertemu Keluarga
melakukan karantina dirumah dikarenakan mengalami sakit kulit yang sudah saya derita selama beberapa bulan terakhir saya sudah melakukan pengobatan ke beberapa klinik dan mengatakan hanya gata gatal biasa tetapi sakit kulit tersebut tidak kunjung sembuh pada pagi hari ini saya melakukan pengecekan kembali ke klinik del dan dari pihak klinik menyarankan saya untuk karantina mandiri setelah berdiskusi dengan bapak asarma kami yaitu bapak josua panggabean dan mengingat terbatasnya fasilitas asrama bapak itu menyarakan agar pulang kerumah supaya proses pengobatan dapat dipantau oleh orang tua,Bertemu Keluarga
untuk mengikuti ibadah natal youth yang diselenggarakan oleh toba youth movement zaitun ministry balige yang bertempatkan di aula smk n balige dan saya ikut serta sebagai panitia dari acara tersebut,Lainnya
mengambil spanduk ke balige untuk keperluan sosialisasi rumah kreatif toba,Bertemu Keluarga
pemilihan,Lainnya
keperluan ik memangkasmerapikan rambutxd tempat tujuan sitoluamaxd detail matakuliah pekerjaan pkm program kreativitas mahasiswa website gkpi tarutung kota pada perbaikan implementasi warta jemaat,Lainnya
keperluan ik melakukan pertemuan dengan mitra pkmxd tujuan tempat jl raja saul lumbantobing hutatoruan vi tarutung kabupaten tapanuli utara sumatera utaraxd detail matakuliah pekerjaan pkmprogram kreativitas mahasiswa website gkpi tarutung kota,Lainnya
melakukan market research kepada beberapa layanan wellness seperti spa dan relaksasi museum dan kolam renang tb silalahi kolam renang labersa pemilihan layanan dibagi berdasarkan kategori xperience yang akan ditawarkan pada fitur yang akan dibangun market research digunakan untuk mengetahui bagaimana system yang sudah berjalan saat ini dan memberikan tawaran untuk memasarkan layanan yang ditawarkan kedalam fitur xperience,Lainnya
keperluan tugas proyek akhir i,Tugas Kuliah
berobat dan urut jempol kaki terkilir,Pergi ke Klinik
requirement gathering dan mengumpulkan data ke dinas pertanian toba untuk memenuhi kebutuhan tugas akhir,Tugas Kuliah
melanjutkan pengumpulan data ke dinas pertanian dan perikanan toba untuk keperluan ta,Tugas Kuliah
mengumpulkan data terkait pupuk dan mencari buku pertanian dalam keperluan ta,Tugas Kuliah
melakukan market research ke cafe bistro dan hutanta untuk keperluan tugas matakuliah keteknowiraan,Tugas Kuliah
melakukan market reaserch ke cafe marsaringar daijo lagos serta grosih chaniago untuk keperluan tugas keteknowiraan,Tugas Kuliah
medical check up mcu,Lainnya
melakukan market research ke homestay yang ada bulbul tambunan dan toba art untuk keperluan tugas mata kuliah keteknowiraan,Tugas Kuliah
mengahadiri acara pernikahan saudari kandung,Lainnya
melakukan market research ke homestay yang ada bulbul tambunan dan toba art untuk keperluan tugas mata kuliah keteknowiraan,Tugas Kuliah
melakukan market research ke homestay yang ada bulbul tambunan dan toba art untuk keperluan tugas mata kuliah keteknowiraan,Tugas Kuliah
selamat sore untuk bapak dan ibu saya arijona purba ijin untuk menemui orang tua yang sedang berkunjung ke rumah saudara atau famili di balige terimakasih bapak dan ibu,Bertemu Keluarga
melakukan market research kepada beberapa layanan wellness seperti spa dan relaksasi museum dan kolam renang tb silalahi kolam renang labersa pemilihan layanan dibagi berdasarkan kategori xperience yang akan ditawarkan pada fitur yang akan dibangun market research digunakan untuk mengetahui bagaimana system yang sudah berjalan saat ini dan memberikan tawaran untuk memasarkan layanan yang ditawarkan kedalam fitur xperience,Lainnya
melakukan market research kepada beberapa layanan wellness seperti spa dan relaksasi museum dan kolam renang tb silalahi kolam renang labersa pemilihan layanan dibagi berdasarkan kategori xperience yang akan ditawarkan pada fitur yang akan dibangun market research digunakan untuk mengetahui bagaimana system yang sudah berjalan saat ini dan memberikan tawaran untuk memasarkan layanan yang ditawarkan kedalam fitur xperience,Lainnya
melakukan market research kepada beberapa tenant rumah kreatif toba pemilihan tenant dikelompokkan menjadi tenant dengan transaksi besar menengah dan sedikit untuk mengetahui sudut pandang dari masingmasing tenant terkait pengalaman dan mengetahui masalah yang dihadapi saat menggunakan aplikasi,Bertemu Keluarga
mengurus passport sudah membayar biaya pendaftaran ke kantor imigrasi di medan pada hari senin sept pukul sd selesai xd xd jika tidak datang maka uang pendaftaran yg sudah dibayarkan akan hangus dan tidak dapat dikembalikan,Tugas Kuliah
melakukan market research kepada beberapa layanan wellness seperti spa dan relaksasi museum dan kolam renang tb silalahi kolam renang labersa pemilihan layanan dibagi berdasarkan kategori xperience yang akan ditawarkan pada fitur yang akan dibangun market research digunakan untuk mengetahui bagaimana system yang sudah berjalan saat ini dan memberikan tawaran untuk memasarkan layanan yang ditawarkan kedalam fitur xperience,Lainnya
mbkm ditenun,Lainnya
keperluan mbkm,Lainnya
melakukan market research ke panti karya hephata,Lainnya
melakukan requirement gathering pertama dan mengumpulkan data untuk pemenuhan tugas akhir ke dinas lingkungan hidup,Tugas Kuliah
melakukan market research ke cafe bistro dan hutanta untuk keperluan tugas matakuliah keteknowiraan,Tugas Kuliah
melakukan market research ke cafe marsaringar daijo cafe dan lagos cafe serta grosir chaniago untuk keperluan tugas matakuliah keteknowiraan,Tugas Kuliah
melakukan pengumpulan kebutuhan tugas akhir ke kantor bpbd kabupaten toba,Tugas Kuliah
mengantar surat ke kantor bpbd balige untuk keperluan ta,Lainnya
tujuan melakukan pengujian terhadap desain dan progress hasil implementasi bersama dengan user yaitu pihak badan penanggulangan bencana kabupaten tobaxd tempat baligexd keperluan mata kuliah tugas akhir ii,Tugas Kuliah
tujuan melakukan tahap analisis yaitu identifikasi karakteristik user serta melakukan pengujian aplikasi penanggulangan bencana bersama dengan user masyarakat tobaxd xd tempat baligexd xd keperluan ta ii,Lainnya
ke kantor kominfo toba untuk keperluan deployment proyek matakuliah pa design thinking dan ta,Tugas Kuliah
mengurus rekening untuk keperluan program my digital academy mandiri,Urusan Pribadi
pengumpulan data mengenai keperluan tugas akhir,Tugas Kuliah
melakukan market research ke cafe bistro dan hutanta untuk keperluan tugas matakuliah keteknowiraan,Tugas Kuliah
melakukan market research ke cafe marsaringar daijo cafe dan lagos cafe serta grosir chaniago untuk keperluan tugas matakuliah keteknowiraan,Tugas Kuliah
memperbaiki laptop yang sedang rusak black screen ke balige agar bisa digunakan untuk keperluan ta,Memperbaiki Barang
ke kantor kominfo toba untuk keperluan deployment proyek matakuliah pa design thinking dan ta,Tugas Kuliah
keperluan mbkm ditenun,Lainnya
keperluan mbkm,Lainnya
memperbaiki laptop,Memperbaiki Barang
melakukan market research ke cafe bistro dan hutanta untuk keperluan tugas matakuliah keteknowiraan,Tugas Kuliah
melakukan market research ke cafe marsaringar daijo cafe dan lagos cafe serta grosir chaniago untuk keperluan tugas matakuliah keteknowiraan,Tugas Kuliah
mengurus keperluan perpanjangan sim,Urusan Pribadi
keperluan ik memangkasmerapikan rambutxd tempat tujuan sitoluamaxd detail matakuliah pekerjaan pkmprogram kreativitas mahasiswa website gkpi tarutung kota pada perbaikan implementasi warta jemaat,Lainnya
keperluan ik melakukan pertemuan dengan mitra pkmxd tujuan tempat jl raja saul lumbantobing hutatoruan vi tarutung kabupaten tapanuli utara sumatera utaraxd detail matakuliah pekerjaan pkmprogram kreativitas mahasiswa website gkpi tarutung kota,Lainnya
melakukan pengumpulan kebutuhan tugas akhir,Tugas Kuliah
mengantar surat kepada bpbd kabupaten toba,Lainnya
melakukan market research kepada beberapa tenant rumah kreatif toba pemilihan tenant dikelompokkan menjadi tenant dengan transaksi besar menengah dan sedikit untuk mengetahui sudut pandang dari masingmasing tenant terkait pengalaman dan mengetahui masalah yang dihadapi saat menggunakan aplikasi,Bertemu Keluarga
pengujian terhadap desain dan progress hasil implementasi website sistem informasi penanggulangan bencana kabupaten toba untuk keperluan ta dan pa iii,Lainnya
tujuan melakukan tahapan analisis karakteristik user serta pengujian aplikasi penanggulangan bencana bersama dengan userxd xd tempat baligexd xd keperluan tugas akhir,Tugas Kuliah
ke kantor kominfo toba untuk keperluan deployment proyek ta,Tugas Kuliah
melakukan market research ke cafe marsaringar daijo cafe dan lagos cafe serta grosir chaniago untuk keperluan tugas matakuliah keteknowiraan,Tugas Kuliah
melakukan market research kepada beberapa layanan wellness seperti spa dan relaksasi museum dan kolam renang tb silalahi kolam renang labersa pemilihan layanan dibagi berdasarkan kategori xperience yang akan ditawarkan pada fitur yang akan dibangun market research digunakan untuk mengetahui bagaimana system yang sudah berjalan saat ini dan memberikan tawaran untuk memasarkan layanan yang ditawarkan kedalam fitur xperience,Lainnya
keperluan ik melakukan pertemuan dengan mitra pkmxd tujuan tempat jl raja saul lumbantobing hutatoruan vi tarutung kabupaten tapanuli utara sumatera utaraxd detail matakuliah pekerjaan pkmprogram kreativitas mahasiswa website gkpi tarutung kotaxd,Lainnya
melakukan market research kepada beberapa layanan wellness seperti spa dan relaksasi museum dan kolam renang tb silalahi kolam renang labersa pemilihan layanan dibagi berdasarkan kategori xperience yang akan ditawarkan pada fitur yang akan dibangun market research digunakan untuk mengetahui bagaimana system yang sudah berjalan saat ini dan memberikan tawaran untuk memasarkan layanan yang ditawarkan kedalam fitur xperience,Lainnya
perpanjangan ib untuk pemulihan dari sakit,Pergi ke Klinik
pelayanan ibadah natal di gbi silimbat,Lainnya
melakukan requirement gathering pengumpulan data kebutuhan tugas akhir mengenai transportasi umum ke balige,Tugas Kuliah
requirement gathering pengumpulan data dan wawancara untuk tugas akhir bersama stakeholders yaitu pemilik tranportasi umum koperasi bintang tapanuli ke tarutung,Tugas Kuliah
requirement kedua terhadap stakeholders lainnya yang terlibat dalam pembangunan produk untuk pemenuhan tugas akhir ke balige koperasi bintang timur,Tugas Kuliah
baru saja mendapat konfirmasi dari dishub toba untuk pengambilan data namun harus dilakukan secara tatap muka,Tugas Kuliah
mengurus rekening keperluan my digital academy mandiri,Urusan Pribadi
menghadiri awarding closing my digital academy by mandiri yang berlokasi gedung mandiri jakarta,Lainnya
melakukan checkup ke rumah sakit balige bersama dengan orangtua dikarenakan saya sudah sudah mengalami demam tinggi naik turun mengigil selama seminggu terakhir dan saya sudah mendapatkan surat sakit dari pihak klinik dan izin dari keasramaan,Bertemu Keluarga
saya yohana sihombing izin melakukan proses seleksi pekerjaan bank mandiri kelanjutan proses my digital academy by bank mandiri yaitu medical check up dengan xd xd hari tanggal rabu juni xd pukul wib pagixd tempat laboratorium klinik bunda thamrin jl sei batang hari no gedung ii rsu bunda thamrin medanxd xd saya izin pakbu melakukan medical check up dan melakukan request hari dari tanggal tersebut dikarenakan rujukan medical check up yang diberikan adalah ke medan pada pagi hari terimakasih pakbu,Lainnya
melakukan market research kepada beberapa layanan wellness seperti spa dan relaksasi museum dan kolam renang tb silalahi kolam renang labersa pemilihan layanan dibagi berdasarkan kategori xperience yang akan ditawarkan pada fitur yang akan dibangun market research digunakan untuk mengetahui bagaimana system yang sudah berjalan saat ini dan memberikan tawaran untuk memasarkan layanan yang ditawarkan kedalam fitur xperience,Lainnya
melakukan requirement untuk kelengkapan dataset dengan melakukan reseach harga pada beberapa bank sampah yang ada disekitaran balige,Tugas Kuliah
melakukan pengumpulan dataset yang baru ke bank sampah tarhilala tambunan hal ini dilakukan untuk memenuhi scope tugas akhir yang membutuhkan dataset yang lebih lengkap dan terperinci,Tugas Kuliah
requirement gathering dan mengumpulkan data ke dinas pertanian toba untuk memenuhi kebutuhan tugas akhir,Tugas Kuliah
melanjutkan pengumpulan data tugas akhir ke dinas pertanian toba,Tugas Kuliah
pengumpulan data tugas akhir tentang pupuk padi,Tugas Kuliah
melakukan market research ke cafe bistro dan hutanta untuk keperluan tugas matakuliah keteknowiraan,Tugas Kuliah
melakukan market research ke cafe marsaringar daijo cafe dan lagos cafe serta grosir chaniago untuk keperluan tugas matakuliah keteknowiraan,Tugas Kuliah
memperbaiki laptop karena diperlukan untuk perkuliahan secepatnya,Memperbaiki Barang
melakukan market research ke panti karya hephata,Lainnya
bertemu dengan partner hephata dan cbrtoba untuk melakukan testing dan juga melakukan bimbingan cara menerima pesanan pada website rktoba,Bertemu Keluarga
melakukan market research ke panti karya hephata,Lainnya
bertemu dengan partner hephata dan cbrtoba untuk melakukan testing dan juga melakukan bimbingan cara menerima pesanan pada website rktoba,Bertemu Keluarga
mengurus dokumen untuk beasiswa tanoto kesekolah,Urusan Pribadi
melakukan market research ke panti karya hephata,Lainnya
bertemu dengan partner hephata dan cbrtoba untuk melakukan testing dan juga melakukan bimbingan cara menerima pesanan pada website rktoba,Bertemu Keluarga
mengurus dokumen dokumen yang dibutuhkan untuk beasiswa tanoto ke sekolah,Urusan Pribadi
melakukan market research ke panti karya hephata,Lainnya
bertemu dengan partner hephata dan cbrtoba untuk melakukan testing dan juga melakukan bimbingan cara menerima pesanan pada website rktoba,Bertemu Keluarga
mengurus rekening bank,Urusan Pribadi
melakukan pemeriksaan lanjutan dikarenakan selama minggu lebih batuk terus menerus hingga mual muntahmuntah dan setelah berobat ke klinik menurut dokter lambung saya sedang bermasalah,Pergi ke Klinik
keperluan ik melakukan pertemuan dengan mitra pkmxd tujuan tempat jl raja saul lumbantobing hutatoruan vi tarutung kabupaten tapanuli utara sumatera utaraxd detail matakuliah pekerjaan pkmprogram kreativitas mahasiswa website gkpi tarutung kota,Lainnya
tempat tujuan kantor bpbd baligexd keperluan ik melakukan tahap requirement kepada pihak bpbd terkait pengumpulan kebutuhan terhadap tugas akhir,Tugas Kuliah
tujuan memberikan surat pengantar dari fakultas dan konfirmasi hasil analisis dengan pihak bpbd untuk keperluan taxd tempat kantor badan penanggulangan bencana daerah bpbd kabupaten toba balige,Lainnya
melakukan market research kepada beberapa layanan wellness seperti spa dan relaksasi museum dan kolam renang tb silalahi kolam renang labersa pemilihan layanan dibagi berdasarkan kategori xperience yang akan ditawarkan pada fitur yang akan dibangun market research digunakan untuk mengetahui bagaimana system yang sudah berjalan saat ini dan memberikan tawaran untuk memasarkan layanan yang ditawarkan kedalam fitur xperience,Lainnya
tujuan melakukan pengujian terhadap desain dan progress hasil implementasi bersama dengan user yaitu pihak badan penanggulangan bencana kabupaten toba xd tempat baligexd keperluan mata kuliah tugas akhir ii,Tugas Kuliah
tujuan melakukan tahap analisis yaitu identifikasi karakteristik user serta melakukan pengujian aplikasi penanggulangan bencana bersama dengan user masyarakat kabupaten tobaxd xd tempat baligexd xd keperluan tugas akhir ii,Tugas Kuliah
melakukan market research kepada beberapa tenant rumah kreatif toba pemilihan tenant dikelompokkan menjadi tenant dengan transaksi besar menengah dan sedikit untuk mengetahui sudut pandang dari masingmasing tenant terkait pengalaman dan mengetahui masalah yang dihadapi saat menggunakan aplikasi,Bertemu Keluarga
berobat ke rumah sakit bersama orang tua,Bertemu Keluarga
melakukan market research kepada beberapa tenant rumah kreatif toba pemilihan tenant dikelompokkan menjadi tenant dengan transaksi besar menengah dan sedikit untuk mengetahui sudut pandang dari masingmasing tenant terkait pengalaman dan mengetahui masalah yang dihadapi saat menggunakan aplikasi,Bertemu Keluarga
melakukan rontgen dan berobat bersama dengan orang tua dikarenakan selama minggu mengalami batukbatuk yang tak kunjung sembuh,Pergi ke Klinik
membantu merawat orangtua yang sedang sakit di rumah sakit,Bertemu Keluarga
melakukan requirement untuk kelengkapan dataset dan melakukan research harga pada beberapa bank sampah yang ada di sekitar balige,Tugas Kuliah
melakukan pengumpulan dataset yang baru ke bank sampah tarhilala tambunan hal ini dilakukan untuk memenuhi scope tugas akhir yang membutuhkan dataset yang lebih lengkap dan terperinci,Tugas Kuliah
keperluan izin keluar untuk paiii dalam rangaka mengumpulkan data atau requirement gathering di sekolah smksma di sekitaran laguboti,Tugas Kuliah
requirement gathering di kantor desa sitoluama untuk pengerjaan pa,Lainnya
masukkan requirement gathering di kantor desa sitoluama untuk pengerjaan pa,Lainnya
requirement gathering,Lainnya
melakukan pengujian produk dengan client di gereja gbi tambunan,Lainnya
perbaiki atm mandiri,Lainnya
ke dokter gigi untuk dicabut gigixd di balige apotik gigi,Pergi ke Klinik
keperluan izin keluar untuk paiii dalam rangaka mengumpulkan data atau requirement gathering di sekolah smksma di sekitaran laguboti,Tugas Kuliah
perbaiki atm mandiri di balige,Lainnya
memperbaiki atm bank mandiri di balige,Lainnya
memperbaiki atm bank mandiri di balige,Lainnya
berobat di rsud porsea,Pergi ke Klinik
pelaksanaan user testing until pa,Lainnya
ikut kegiatan retret,Lainnya
perbaiki hp dan ke bank aktifkan kata sandi atm,Lainnya
melakukan requirement gathering di kantor desa sitoluama untuk pengerjaan pa,Lainnya
melakukan requirement gathering di kantor desa,Lainnya
tujuan perbaiki atm mandiri di balige,Lainnya
memperbaiki atm rusak di bank mandiri di balige,Lainnya
perbaiki kode atm yang sudah terbklokir,Lainnya
memperbaiki atm mandiri yang rusak,Lainnya
memperbaiki atm mandiri yang rusak,Lainnya
keperluan izin keluar untuk paiii dalam rangaka mengumpulkan data atau requirement gathering di sekolah smksma di sekitaran laguboti,Tugas Kuliah
perbaiki buku tabungan bank mandiri,Urusan Pribadi
keperluan izin keluar untuk paiii dalam rangaka mengumpulkan data atau requirement gathering di sekolah smksma di sekitaran laguboti,Tugas Kuliah
melakukan requirement gathering di kantor desa sitoluama untuk pengerjaan pa,Lainnya
requirement gathering,Lainnya
keperluan izin keluar untuk paiii dalam rangaka mengumpulkan data atau requirement gathering di sekolah smksma di sekitaran laguboti,Tugas Kuliah
requirement gathering,Lainnya
melakukan pengujian produk dengan client di gereja gbi tambunan,Lainnya
requirement gathering,Lainnya
melakukan requirement gathering di kantor desa sitoluama untuk pengerjaan pa,Lainnya
melakukan requirement gathering untuk keperluan proyek akhir,Tugas Kuliah
kontrol behel,Pergi ke Klinik
kontrol behel di rsud porsea,Pergi ke Klinik
balige,Lainnya
katekisasi di gereja gbi tambunan,Lainnya
mengikuti acara pembaptisan di labersa karena saya juga mendaftarkan diri untuk dibaptis,Lainnya
requirement gathering ke dinas pariwisata kabupaten toba pemilik kapal dan pemilik rental mobil dan motor di balige untuk keperluan studi independen,Lainnya
studi independen,Lainnya
menindak lanjuti studi independen,Lainnya
mengurus atm dang mbaking bni,Urusan Pribadi
mengambil kartu atm baru,Lainnya
requirement ke bpbd untuk keperluan pa,Lainnya
memberikan surat pengantar dari fakultas dan konfirmasi hasil analisis dengan pihak bpbd untuk keperluan pa,Lainnya
periksa behel ke dokter gigi,Pergi ke Klinik
periksa behel gigi,Pergi ke Klinik
pengujian terhadap desain dan progres hasil implementasi website sistem informasi penanggulangan bencana kabupaten toba untuk keperluan pa iii,Lainnya
tujuan melakukan tahap analisis yaitu identifikasi karakteristik user serta melakukan pengujian aplikasi penanggulangan bencana bersama dengan user masyarakat tobaxd xd tempat baligexd xd keperluan pa,Lainnya
wawancara untuk keperluan studi independen,Lainnya
mengurus kartu atm bni yang hilang,Urusan Pribadi
melakukan pengobatan gigi ke dokter gigi,Pergi ke Klinik
mengurus handphone dikarenakan rusak,Urusan Pribadi
untuk melakukan pengurusan pasport ke humbang hasundutan yang akan digunakan ketika study visit to thailand maret,Lainnya
visiting study to thailand maret,Lainnya
melakukan user interview user requirement untuk studi independen gerakan startup,Lainnya
menjenguk orangtua yang sakit di balige,Bertemu Keluarga
mendampingi orangtua melakukan medical checkup dan konsultasi lanjutan pascaoperasi ke penang malaysia,Bertemu Keluarga
melakukan user testing tenant umkm rumah kreatif toba di sekitar laguboti dan balige bersama kelompok pa iii untuk keperluan tugas akhir,Bertemu Keluarga
wawancara dengan dinas pertanian toba studi independen,Lainnya
melakukan pengumpulan data dan wawancara untuk keperluan proyek studi independen di mana xd narasumber ir togap h sitorus kepala dinas pertanian kabupaten tobaxd tempat jalan pertanian no huta bulu mejan baligexd waktu selesai,Tugas Kuliah
melakukan validasi produk yang akan dirancang untuk keperluan proyek studi independenxd narasumber petani tobaxd tempat laguboti balige,Tugas Kuliah
melakukan janji temu dengan pihak komunitas tani dan petani di laguboti terkait produk yang ditawarkan untuk kebutuhan studi independent,Lainnya
melakukan requirement gathering interview kepada calon user yaitu pedagang ikan di pasar balige laguboti dan juga kepada nelayan di lumban silintong untuk keperluan studi independen startup,Lainnya
mengurus atm di balige,Urusan Pribadi
mengembalikan barang ke rumah,Memperbaiki Barang
